Campaign_ID,Campaign_Name,Platform,Date,Impressions,Reach,Clicks,Likes,Shares,Comments,Ad_Spend,Conversions
CAMP048,Brand Awareness,LinkedIn,2024-08-16,35798,31296,210,1911,43,435,49080,100
CAMP049,Brand Awareness,Facebook,2024-08-20,46846,44530,1929,4278,298,496,27261,38
CAMP050,New Product Launch,Facebook,2024-06-02,19977,13615,2301,1944,428,186,13465,177
CAMP051,Brand Awareness,Twitter,2024-03-25,14769,8893,141,3313,479,496,11228,251
CAMP052,Clearance Sale,Twitter,2024-10-17,14017,11579,2789,1408,634,427,33987,112
CAMP053,Summer Sale,LinkedIn,2024-05-30,27031,21610,581,2562,35,10,25713,54
CAMP054,New Product Launch,Facebook,2024-10-05,23950,22320,1982,1542,689,76,7940,10
CAMP055,Festival Offer,LinkedIn,2024-04-01,35651,22756,845,499,485,210,8664,125
CAMP056,Summer Sale,Twitter,2024-08-12,34653,21491,1856,2528,786,476,49100,133
CAMP057,Brand Awareness,Facebook,2024-04-19,33678,26066,2837,1617,755,198,22856,170
CAMP058,Clearance Sale,Facebook,2024-02-10,42101,29117,1052,992,592,334,41072,89
CAMP059,Clearance Sale,Twitter,2024-08-18,20430,15467,2093,3973,316,336,46426,28
CAMP060,Clearance Sale,Twitter,2024-03-10,18919,11825,664,4470,760,489,33893,251
CAMP061,Brand Awareness,LinkedIn,2024-08-01,44462,34127,299,3067,316,381,7810,66
CAMP062,Clearance Sale,Twitter,2024-01-22,31008,18916,2837,860,423,404,24480,27
CAMP063,New Product Launch,Instagram,2024-04-11,11936,9371,1452,1251,200,418,30042,40
CAMP064,Clearance Sale,Facebook,2024-01-19,45466,44314,1729,2807,633,99,18464,109
CAMP065,Festival Offer,Facebook,2024-02-12,19148,15972,543,1390,309,124,12566,71
CAMP066,New Product Launch,LinkedIn,2024-05-21,8607,5198,2112,1397,495,269,34322,252
CAMP067,Festival Offer,Instagram,2024-09-27,25529,21886,2953,1628,284,196,14736,199
CAMP068,Festival Offer,Twitter,2024-07-07,26044,19589,1604,400,412,411,17881,200
CAMP069,Festival Offer,LinkedIn,2024-06-06,49827,49394,952,2952,55,419,44051,233
CAMP070,Summer Sale,Twitter,2024-06-14,33827,22715,2057,1326,638,197,31930,205
CAMP071,Brand Awareness,Instagram,2024-07-28,33351,21421,1120,299,158,222,41731,166
CAMP072,Festival Offer,Instagram,2024-08-18,44776,41766,1315,1182,693,67,10841,17
CAMP073,Brand Awareness,Facebook,2024-08-01,34055,32505,1121,399,326,197,7976,201
CAMP074,Brand Awareness,Facebook,2024-10-13,24529,19715,2819,621,639,395,7978,120
CAMP075,New Product Launch,Twitter,2024-08-30,16021,12207,1167,2658,617,224,41426,62
CAMP076,Festival Offer,Facebook,2024-02-27,13279,10340,2853,482,526,480,47986,34
CAMP077,New Product Launch,LinkedIn,2024-07-16,11080,10326,635,4801,655,43,21082,238
CAMP078,New Product Launch,Instagram,2024-01-16,6064,5956,2531,4163,324,192,46857,18
CAMP079,Clearance Sale,Twitter,2024-01-02,21502,12924,2369,2639,409,111,32777,9
CAMP080,Festival Offer,Twitter,2024-10-25,6402,6122,2221,3936,84,87,31677,250
CAMP081,Brand Awareness,Facebook,2024-09-27,27135,19757,1949,3692,790,478,22572,23
CAMP082,Clearance Sale,LinkedIn,2024-09-24,22474,16148,1661,2767,227,457,42123,173
CAMP083,Summer Sale,Twitter,2024-02-17,38590,35403,2468,397,480,437,40072,5
CAMP084,Brand Awareness,LinkedIn,2024-06-02,34781,23277,2645,1927,71,169,28273,250
CAMP085,New Product Launch,Instagram,2024-09-25,42042,27341,1070,4109,598,243,5496,226
CAMP086,Clearance Sale,Instagram,2024-02-19,22046,15678,2656,3000,228,264,13398,196
CAMP087,New Product Launch,LinkedIn,2024-03-07,14396,13335,1098,2259,306,494,41229,52
CAMP088,Brand Awareness,Instagram,2024-06-04,48477,32881,2569,1869,781,365,44286,236
CAMP089,Summer Sale,Twitter,2024-10-03,44814,41088,1424,3400,777,410,34232,109
CAMP090,Brand Awareness,Instagram,2024-08-26,21902,20122,952,4649,188,406,23801,144
CAMP091,Summer Sale,Twitter,2024-09-26,22066,13248,447,2683,50,353,17796,274
CAMP092,Clearance Sale,Instagram,2024-10-03,17359,15738,2342,2066,131,180,16925,97
CAMP093,Brand Awareness,Facebook,2024-03-16,31445,23481,2753,1582,422,316,13690,259
CAMP094,New Product Launch,Instagram,2024-03-28,33575,26290,2735,2011,188,94,49041,207
CAMP095,Brand Awareness,Twitter,2024-01-31,8880,7642,2893,1321,437,389,41506,24
CAMP096,Festival Offer,Instagram,2024-08-19,30355,20364,105,4354,440,247,10561,143
CAMP097,Festival Offer,Twitter,2024-01-14,41167,29030,1743,3143,528,165,24168,94
CAMP098,Brand Awareness,LinkedIn,2024-03-29,21751,15664,2423,746,324,480,21843,299
CAMP099,New Product Launch,LinkedIn,2024-09-26,43013,35487,2434,1342,324,404,20159,242
CAMP100,New Product Launch,Twitter,2024-06-14,31352,20059,541,659,98,99,15976,194
CAMP101,Summer Sale,LinkedIn,2024-04-17,31302,27701,2631,2932,483,166,2735,190
CAMP102,Brand Awareness,Instagram,2024-05-14,32077,27421,800,1942,580,305,49485,137
CAMP103,Festival Offer,Facebook,2024-08-25,47941,43192,446,2468,177,64,21253,78
CAMP104,New Product Launch,Twitter,2024-07-25,28556,19981,1268,3133,413,163,9711,156
CAMP105,Clearance Sale,Facebook,2024-05-18,32841,27537,1300,3209,690,221,3856,201
CAMP106,Festival Offer,Facebook,2024-09-08,34687,30401,856,2193,303,153,26724,220
CAMP107,Festival Offer,Instagram,2024-08-27,37151,34087,2203,2076,620,290,2108,209
CAMP108,New Product Launch,LinkedIn,2024-09-01,9556,7126,368,779,467,205,37415,284
CAMP109,Brand Awareness,LinkedIn,2024-06-18,28111,27652,2137,1617,480,170,27237,115
CAMP110,Festival Offer,Facebook,2024-02-10,12828,8771,588,2856,712,205,6525,35
CAMP111,Clearance Sale,Facebook,2024-02-04,33447,28131,357,4038,797,358,27929,76
CAMP112,Brand Awareness,Instagram,2024-01-03,32202,31422,512,2527,651,381,30657,50
CAMP113,Festival Offer,Twitter,2024-03-16,31768,29452,383,4142,68,75,10208,246
CAMP114,Clearance Sale,Twitter,2024-02-23,6706,6240,1651,1287,270,71,13349,223
CAMP115,Summer Sale,Twitter,2024-07-29,38169,23036,1218,961,108,498,38187,132
CAMP116,Brand Awareness,LinkedIn,2024-01-08,45303,27859,583,1274,487,290,9761,29
CAMP117,Brand Awareness,Facebook,2024-02-25,33280,29627,1403,3355,374,29,46178,239
CAMP118,New Product Launch,Instagram,2024-04-09,37590,36440,1397,4329,215,101,35281,205
CAMP119,Festival Offer,Facebook,2024-01-01,29492,20236,2120,430,201,128,13957,124
CAMP120,Festival Offer,Twitter,2024-10-06,7028,6582,2389,3183,283,46,4486,49
CAMP121,New Product Launch,Instagram,2024-08-03,6085,3919,2141,476,67,249,40443,186
CAMP122,Festival Offer,LinkedIn,2024-01-23,38196,35855,470,1572,794,26,29595,144
CAMP123,Summer Sale,Instagram,2024-01-16,33764,28097,1129,4184,331,456,11578,230
CAMP124,Summer Sale,Facebook,2024-09-22,8384,5126,567,3652,794,472,44321,65
CAMP125,Festival Offer,Facebook,2024-08-12,23757,18742,418,3913,97,181,42643,136
CAMP126,Summer Sale,Facebook,2024-04-30,48215,36686,2033,4090,309,316,28245,99
CAMP127,Brand Awareness,Twitter,2024-09-10,6678,4900,1536,3219,539,187,23858,33
CAMP128,Summer Sale,Twitter,2024-08-18,18597,17091,2717,2990,435,261,45919,82
CAMP129,Festival Offer,Instagram,2024-07-07,45470,33791,488,4064,705,55,43242,51
CAMP130,Summer Sale,LinkedIn,2024-05-25,33335,20442,1678,3430,714,199,7291,74
CAMP131,Brand Awareness,Twitter,2024-07-02,27452,23813,1671,3990,83,433,14214,143
CAMP132,Festival Offer,Twitter,2024-05-25,37366,26876,2377,4350,352,212,27569,242
CAMP133,New Product Launch,Instagram,2024-06-16,37926,26052,1640,3418,329,423,37067,210
CAMP134,Brand Awareness,Instagram,2024-06-05,25775,23380,2381,450,793,351,13200,23
CAMP135,Festival Offer,Twitter,2024-09-30,29353,22395,2754,4510,617,326,19033,198
CAMP136,Festival Offer,Instagram,2024-02-07,39786,25196,1586,2512,298,29,26628,96
CAMP137,New Product Launch,LinkedIn,2024-10-09,7399,5536,2231,4287,248,497,17933,100
CAMP138,Clearance Sale,Facebook,2024-06-14,26988,16458,1607,4264,365,496,8521,150
CAMP139,Festival Offer,Twitter,2024-06-19,23292,21317,1239,3403,732,128,36337,170
CAMP140,Festival Offer,Instagram,2024-05-18,28155,17697,846,1305,25,280,49246,204
CAMP141,Summer Sale,Facebook,2024-03-28,49040,32890,2344,787,781,493,34434,180
CAMP142,Festival Offer,Facebook,2024-02-17,8909,8620,996,797,271,153,24781,291
CAMP143,Summer Sale,Instagram,2024-08-26,37161,26740,376,2015,710,80,35528,61
CAMP144,Brand Awareness,LinkedIn,2024-07-21,42081,30414,2716,3297,579,353,2458,247
CAMP145,Festival Offer,Twitter,2024-10-08,21702,18432,2942,4125,266,389,10903,30
CAMP146,Brand Awareness,LinkedIn,2024-04-11,24068,19065,2106,1270,403,201,27992,82
CAMP147,Festival Offer,Twitter,2024-10-12,36107,29938,2569,754,414,485,3291,256
CAMP148,Summer Sale,Twitter,2024-10-24,21330,15869,1387,2819,290,67,21362,149
CAMP149,Festival Offer,Twitter,2024-04-13,12673,8069,1557,1678,399,431,10705,25
CAMP150,Festival Offer,Twitter,2024-03-03,7568,6885,1151,3275,394,415,6412,253
CAMP151,New Product Launch,Twitter,2024-06-05,25558,25460,2194,506,488,192,12685,248
CAMP152,Brand Awareness,LinkedIn,2024-04-24,31957,21956,2647,1194,740,414,47523,15
CAMP153,Brand Awareness,Facebook,2024-05-07,47993,31302,554,968,619,364,21216,85
CAMP154,New Product Launch,Twitter,2024-05-10,36331,34475,1470,1225,374,259,7622,146
CAMP155,Brand Awareness,Instagram,2024-10-23,18706,14362,1496,977,700,219,37164,169
CAMP156,New Product Launch,Twitter,2024-03-04,13852,8998,1287,578,687,441,3897,102
CAMP157,Brand Awareness,Facebook,2024-08-12,37037,33803,1095,243,72,68,16130,189
CAMP158,New Product Launch,LinkedIn,2024-03-29,34508,32451,1501,1996,536,415,7147,150
CAMP159,Brand Awareness,Instagram,2024-01-05,25872,18659,2757,1550,625,77,24072,138
CAMP160,Brand Awareness,Facebook,2024-06-13,27502,16543,2728,437,366,398,33001,93
CAMP161,Festival Offer,Twitter,2024-05-02,49258,45156,977,1447,448,309,3120,86
CAMP162,Festival Offer,LinkedIn,2024-03-23,49560,46387,1782,3073,799,244,31344,145
CAMP163,Festival Offer,Instagram,2024-01-15,41084,25918,1260,4583,447,55,41671,29
CAMP164,Festival Offer,Twitter,2024-06-27,5773,3931,1726,4590,282,385,33743,108
CAMP165,Brand Awareness,Facebook,2024-10-18,7735,7525,1806,1483,347,468,33628,137
CAMP166,New Product Launch,Facebook,2024-10-17,31515,27139,2542,580,250,49,16380,83
CAMP167,Clearance Sale,Instagram,2024-05-08,7106,6256,323,791,268,262,18646,159
CAMP168,Clearance Sale,Instagram,2024-07-29,34252,25488,950,557,117,34,37122,118
CAMP169,Brand Awareness,LinkedIn,2024-03-22,35737,24471,1429,1079,699,487,23991,145
CAMP170,New Product Launch,Instagram,2024-02-27,6867,4228,2300,3098,100,335,48427,130
CAMP171,Brand Awareness,LinkedIn,2024-01-21,29102,25631,2213,2760,376,398,11548,52
CAMP172,Festival Offer,Instagram,2024-06-16,38432,38021,274,2718,769,222,2253,172
CAMP173,Brand Awareness,LinkedIn,2024-03-12,9147,8565,2291,2206,301,300,23810,273
CAMP174,Clearance Sale,Twitter,2024-05-03,16968,12819,1031,3017,182,130,11281,225
CAMP175,Brand Awareness,Instagram,2024-04-07,31150,28358,2365,4772,422,251,8551,124
CAMP176,New Product Launch,Twitter,2024-08-25,49196,30284,2396,4173,497,140,29377,149
CAMP177,New Product Launch,Instagram,2024-07-30,43890,27698,2539,3502,490,158,21729,166
CAMP178,Brand Awareness,LinkedIn,2024-02-29,23949,23556,1634,1795,199,495,26929,166
CAMP179,Festival Offer,LinkedIn,2024-06-04,25108,20421,1621,3829,346,46,38263,249
CAMP180,New Product Launch,Facebook,2024-04-20,18972,15686,259,3323,420,29,18502,86
CAMP181,Summer Sale,Facebook,2024-09-26,6709,5175,1600,1714,481,341,49370,30
CAMP182,New Product Launch,Instagram,2024-10-16,19669,14158,2553,2685,513,238,37044,254
CAMP183,New Product Launch,LinkedIn,2024-07-03,9980,9097,2237,3083,792,259,17465,104
CAMP184,Summer Sale,LinkedIn,2024-07-13,34426,26332,1548,1960,226,317,36544,124
CAMP185,New Product Launch,LinkedIn,2024-07-07,32697,23269,683,4371,179,438,31216,254
CAMP186,Brand Awareness,Twitter,2024-07-11,37518,37432,2102,4691,757,82,13864,35
CAMP187,Clearance Sale,Twitter,2024-07-28,17697,15935,876,252,25,113,19730,253
CAMP188,Brand Awareness,Twitter,2024-01-02,15001,14179,909,4664,759,381,24781,293
CAMP189,Festival Offer,Facebook,2024-10-02,26776,16303,301,1750,255,204,3659,184
CAMP190,Clearance Sale,Instagram,2024-02-22,16240,14117,1090,2520,263,464,35613,234
CAMP191,Brand Awareness,LinkedIn,2024-10-22,39433,37342,631,1197,702,229,14634,208
CAMP192,Brand Awareness,Twitter,2024-10-27,10115,8467,2459,1249,205,308,28419,85
CAMP193,Brand Awareness,Twitter,2024-06-01,30927,22690,1280,3952,290,423,38485,14
CAMP194,Clearance Sale,Instagram,2024-10-01,20062,17764,2725,3669,587,465,37377,45
CAMP195,Brand Awareness,LinkedIn,2024-03-20,26652,26409,1180,4357,657,112,49220,278
CAMP196,Brand Awareness,Instagram,2024-10-01,43063,32528,1664,2478,184,424,7535,66
CAMP197,Clearance Sale,LinkedIn,2024-10-25,40875,28522,346,1533,290,489,46486,195
CAMP198,New Product Launch,Facebook,2024-09-19,20318,16849,2063,4297,650,86,45507,177
CAMP199,Clearance Sale,Instagram,2024-04-05,30699,23279,260,1649,585,171,46511,169
CAMP200,New Product Launch,Facebook,2024-02-08,8366,6174,2462,3948,669,79,2094,107
CAMP201,Summer Sale,Twitter,2024-10-13,20363,15910,1729,407,505,259,15489,45
CAMP202,Festival Offer,Facebook,2024-08-11,8027,5266,1978,251,474,274,13486,300
CAMP203,Summer Sale,LinkedIn,2024-04-20,28806,22936,523,2019,742,345,30618,63
CAMP204,Summer Sale,Instagram,2024-04-29,45072,32714,351,379,283,373,22362,169
CAMP205,Brand Awareness,Instagram,2024-10-16,14699,14370,1355,2788,425,119,25154,156
CAMP206,Festival Offer,Instagram,2024-06-05,43323,37002,334,3310,381,123,36838,124
CAMP207,Brand Awareness,Facebook,2024-07-13,30423,24262,388,3143,798,308,4693,142
CAMP208,Brand Awareness,Facebook,2024-07-13,28975,25942,2074,4325,612,274,8943,226
CAMP209,Festival Offer,Facebook,2024-08-14,20349,18675,387,4991,466,14,47011,119
CAMP210,Brand Awareness,LinkedIn,2024-06-15,40189,39513,2772,3662,638,166,16065,31
CAMP211,Brand Awareness,Twitter,2024-10-05,18340,13902,949,1141,478,441,26397,48
CAMP212,Clearance Sale,Facebook,2024-09-14,9435,6689,1378,3689,155,25,12412,264
CAMP213,Festival Offer,Instagram,2024-06-02,21284,16796,1265,4228,583,441,20062,188
CAMP214,Clearance Sale,Twitter,2024-09-12,25845,15671,465,2109,381,116,38910,130
CAMP215,Festival Offer,LinkedIn,2024-09-10,13943,13550,1019,1274,751,110,15644,117
CAMP216,Brand Awareness,LinkedIn,2024-07-21,18426,13480,1320,986,791,432,26216,102
CAMP217,Festival Offer,Instagram,2024-06-15,17069,14331,1745,3746,673,486,46123,104
CAMP218,Brand Awareness,Facebook,2024-01-31,13361,9885,1080,1019,114,447,36341,153
CAMP219,Summer Sale,LinkedIn,2024-03-01,13212,8631,2839,929,303,494,25787,19
CAMP220,New Product Launch,Twitter,2024-06-18,49612,37081,2901,2577,129,369,7550,191
CAMP221,Festival Offer,LinkedIn,2024-07-12,47482,30726,425,1413,779,18,17645,226
CAMP222,Summer Sale,Twitter,2024-08-28,39650,30656,2092,3828,40,264,31344,264
CAMP223,Clearance Sale,Instagram,2024-08-18,38961,30147,517,1605,246,107,30744,28
CAMP224,Brand Awareness,Facebook,2024-03-08,42597,25751,1610,3228,423,116,11479,251
CAMP225,New Product Launch,Facebook,2024-03-18,13106,11007,998,3849,558,128,32909,50
CAMP226,Brand Awareness,Facebook,2024-05-18,27715,23417,193,3275,245,399,6142,273
CAMP227,Brand Awareness,Instagram,2024-04-20,35300,25004,943,3897,65,365,29925,189
CAMP228,Summer Sale,Twitter,2024-08-17,42965,41513,1818,651,74,30,36532,268
CAMP229,Brand Awareness,Twitter,2024-09-29,26716,16540,2021,1217,249,465,13911,57
CAMP230,Brand Awareness,LinkedIn,2024-04-03,8254,5909,1975,1787,632,220,4014,46
CAMP231,Summer Sale,LinkedIn,2024-01-26,41241,25092,1706,2920,336,268,10443,106
CAMP232,Brand Awareness,Facebook,2024-07-19,25101,16833,2347,4449,797,414,11312,192
CAMP233,Clearance Sale,Instagram,2024-04-12,36994,29833,1083,2606,417,439,46613,63
CAMP234,Clearance Sale,Facebook,2024-08-23,12385,8727,1406,3869,358,195,4624,143
CAMP235,Clearance Sale,Instagram,2024-01-18,26107,23050,1884,3909,65,449,13234,28
CAMP236,Clearance Sale,LinkedIn,2024-06-14,34865,27853,114,3274,249,421,46366,170
CAMP237,Summer Sale,LinkedIn,2024-01-11,22985,20697,1478,1037,89,185,38511,85
CAMP238,Festival Offer,Facebook,2024-03-01,9880,7135,2713,2919,187,397,25968,121
CAMP239,Summer Sale,Twitter,2024-03-24,6361,6074,2302,3386,497,192,13208,161
CAMP240,Clearance Sale,Facebook,2024-08-07,41949,38405,2638,2858,409,14,22661,108
CAMP241,New Product Launch,Instagram,2024-10-11,33069,23749,1649,2184,501,464,26708,108
CAMP242,Brand Awareness,Facebook,2024-01-29,12218,12047,2831,1360,508,134,35405,143
CAMP243,New Product Launch,LinkedIn,2024-03-12,26241,22640,2684,1831,338,451,12997,191
CAMP244,Clearance Sale,Instagram,2024-03-18,27831,17526,1748,1030,336,378,39562,201
CAMP245,Festival Offer,Instagram,2024-09-08,17361,14423,2228,3584,397,47,46133,80
CAMP246,Summer Sale,LinkedIn,2024-08-31,18306,14840,2699,1810,533,179,3253,262
CAMP247,Summer Sale,Twitter,2024-09-07,37755,23918,2943,3634,617,139,37704,243
CAMP248,New Product Launch,Twitter,2024-02-11,42978,29555,2289,3808,99,332,6955,14
CAMP249,Clearance Sale,Twitter,2024-01-30,22543,21906,137,4993,218,479,26867,100
CAMP250,New Product Launch,Instagram,2024-04-09,41280,30763,2135,3660,206,189,44891,143
